Date,Temperature,Cloudiness,Wind speed,Price
2023-03-04 02:00:00,-2.5,100,6.0,26.93
2023-03-04 03:00:00,-3.3,113,7.0,27.56
2023-03-04 04:00:00,-4.3,13,6.0,28.48
2023-03-04 05:00:00,-5.5,0,7.0,30.79
2023-03-04 06:00:00,-6.0,0,5.0,33.09
2023-03-04 07:00:00,-6.2,0,5.0,45.01
2023-03-04 08:00:00,-5.6,75,5.0,66.84
2023-03-04 09:00:00,-5.0,100,5.0,82.37
2023-03-04 10:00:00,-5.6,25,4.0,82.37
2023-03-04 11:00:00,-4.6,0,4.0,50.14
2023-03-04 12:00:00,-4.2,0,4.0,45.59
2023-03-04 13:00:00,-3.1,0,5.0,45.23
2023-03-04 14:00:00,-2.6,0,5.0,49.98
2023-03-04 15:00:00,-2.5,0,4.0,96.99
2023-03-04 16:00:00,-4.4,0,4.0,115.4
2023-03-04 17:00:00,-5.3,50,4.0,124.12
2023-03-04 18:00:00,-3.8,100,4.0,126.84
2023-03-04 19:00:00,-2.6,100,4.0,126.56
2023-03-04 20:00:00,-2.5,100,4.0,124.85
2023-03-04 21:00:00,-2.8,100,3.0,123.28
2023-03-04 22:00:00,-3.5,50,4.0,120.24
2023-03-04 23:00:00,-4.3,113,4.0,117.88
2023-03-05 00:00:00,-5.3,113,4.0,117.05
2023-03-05 01:00:00,-5.7,113,5.0,115.05
2023-03-05 02:00:00,-5.6,113,5.0,113.96
2023-03-05 03:00:00,-5.7,113,4.0,116.07
2023-03-05 04:00:00,-5.7,100,5.0,112.99
2023-03-05 05:00:00,-5.4,100,5.0,113.98
2023-03-05 06:00:00,-5.0,100,5.0,113.24
2023-03-05 07:00:00,-4.7,100,4.0,118.07
2023-03-05 08:00:00,-4.6,100,4.0,120.23
2023-03-05 09:00:00,-3.9,100,3.0,120.24
2023-03-05 10:00:00,-3.7,113,3.0,117.4
2023-03-05 11:00:00,-3.2,113,4.0,119.2
2023-03-05 12:00:00,-2.6,75,4.0,119.24
2023-03-05 13:00:00,-2.3,100,4.0,117.35
2023-03-05 14:00:00,-2.7,100,4.0,119.2
2023-03-05 15:00:00,-2.9,100,3.0,123.44
2023-03-05 16:00:00,-3.2,88,4.0,128.76
2023-03-05 17:00:00,-3.8,38,3.0,162.0
2023-03-05 18:00:00,-4.4,100,3.0,185.8
2023-03-05 19:00:00,-4.7,100,3.0,189.9
2023-03-05 20:00:00,-5.1,100,5.0,164.82
2023-03-05 21:00:00,-6.3,113,5.0,161.83
2023-03-05 22:00:00,-7.0,113,3.0,152.88
2023-03-05 23:00:00,-7.2,113,4.0,131.39
2023-03-06 00:00:00,-9.7,113,4.0,145.77
2023-03-06 01:00:00,-9.6,63,4.0,132.29
2023-03-06 02:00:00,-9.5,100,5.0,130.38
2023-03-06 03:00:00,-9.5,100,3.0,131.26
2023-03-06 04:00:00,-11.4,100,3.0,136.63
2023-03-06 05:00:00,-13.8,0,3.0,153.4
2023-03-06 06:00:00,-15.4,38,2.0,178.36
2023-03-06 07:00:00,-14.4,88,2.0,206.49
2023-03-06 08:00:00,-12.9,88,1.0,242.3
2023-03-06 09:00:00,-11.9,88,3.0,212.06
2023-03-06 10:00:00,-11.2,75,3.0,190.04
2023-03-06 11:00:00,-10.0,88,1.0,179.52
2023-03-06 12:00:00,-9.0,88,1.0,167.33
2023-03-06 13:00:00,-8.4,75,2.0,161.79
2023-03-06 14:00:00,-9.4,25,2.0,161.06
2023-03-06 15:00:00,-10.2,38,2.0,162.71
2023-03-06 16:00:00,-9.7,38,2.0,169.66
2023-03-06 17:00:00,-11.2,100,1.0,180.85
2023-03-06 18:00:00,-13.3,0,0.0,206.34
2023-03-06 19:00:00,-14.9,0,0.0,197.35
2023-03-06 20:00:00,-15.4,75,1.0,167.41
2023-03-06 21:00:00,-13.3,100,1.0,149.12
2023-03-06 22:00:00,-14.2,100,1.0,134.66
2023-03-06 23:00:00,-14.5,100,0.0,121.19
2023-03-07 00:00:00,-13.3,100,1.0,112.73
2023-03-07 01:00:00,-13.8,100,1.0,108.42
2023-03-07 02:00:00,-14.4,100,1.0,103.75
2023-03-07 03:00:00,-14.4,100,1.0,93.72
2023-03-07 04:00:00,-14.2,100,1.0,89.84
2023-03-07 05:00:00,-14.8,88,1.0,97.91
2023-03-07 06:00:00,-14.6,100,1.0,110.22
2023-03-07 07:00:00,-14.4,88,1.0,114.51
2023-03-07 08:00:00,-14.6,88,1.0,117.91
2023-03-07 09:00:00,-14.4,75,1.0,109.93
2023-03-07 10:00:00,-12.9,50,1.0,108.65
2023-03-07 11:00:00,-12.0,38,2.0,108.2
2023-03-07 12:00:00,-11.9,38,1.0,100.4
2023-03-07 13:00:00,-11.7,63,2.0,107.39
2023-03-07 14:00:00,-12.0,75,2.0,106.16
2023-03-07 15:00:00,-11.7,88,2.0,108.98
2023-03-07 16:00:00,-11.9,75,1.0,119.04
2023-03-07 17:00:00,-14.1,0,1.0,137.8
2023-03-07 18:00:00,-16.1,0,1.0,166.93
2023-03-07 19:00:00,-17.0,0,1.0,144.3
2023-03-07 20:00:00,-18.0,0,2.0,126.57
2023-03-07 21:00:00,-19.0,0,1.0,125.5
2023-03-07 22:00:00,-18.9,0,1.0,75.98
2023-03-07 23:00:00,-19.3,0,2.0,64.12
2023-03-08 00:00:00,-19.7,13,2.0,82.52
2023-03-08 01:00:00,-20.0,75,2.0,79.6
2023-03-08 02:00:00,-20.0,88,3.0,78.55
2023-03-08 03:00:00,-20.4,38,3.0,93.4
2023-03-08 04:00:00,-21.0,50,2.0,120.83
2023-03-08 05:00:00,-21.3,0,2.0,128.44
